Field=Currency5~String~Currency5~100|Field=DateOfPrice5~String~DateOfPrice5~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Manufacturer5~String~Manufacturer5~100|Field=OtherParams~String~OtherParams~100|Field=Quantity~Integer~Quantity~100|Field=Reference5~String~Reference5~100|Field=Supplier5~String~Supplier5~100|Field=Typ5~String~Typ5~100|Field=Value~String~Value~100|Field=Price1~String~Price1~100|Field=ProjectName~String~ProjectName~100|Field=Descript~String~Descript~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LPGDetA1.PrjPCB|ReportField=ProjectFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB|ReportField=Title~BOM For Variant [4-20mA] of Project [LPGDetA1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~90|ReportField=ReportTime~19:24:49|ReportField=ReportDate~2013-01-26|ReportField=ReportDateTime~2013-01-26 19:24:49|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~4-20mA|ReportField=VariantComment~Wyjsciem jest zrodlo pradowe 4-20mA|ReportField=Nazwa_projektu~Detektor gazów LPG|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2013-01-26|ReportField=CurrentTime~19:24:37|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1_main.SchDoc|ReportField=DocumentName~LPGDetA1_main.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=LotOfPieces~1|ReportField=MineMounted~|ReportField=ModifiedDate~2013-01-13|ReportField=Organization~|ReportField=ProjectName~LPGDetA1.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~6|ReportField=Subtitle0~Schemat glowny|ReportField=Subtitle1~|ReportField=Subtitle2~|ReportField=SVNPath~|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~LPGDetA1.PrjPCB|ReportField=DataSourceFullPath~E:\Design\Maciejak_A\LPGDetA1\sch\LPGDetA1.PrjPCB
PLN|2013-01-12|D2c|KPA-3010ID[[/\]]KPA-3010ID|Kingbright Electronic||1|KPA-3010ID|tme.pl|KPA-3010ID|KPA-3010ID|0,287|LPGDetA1.PrjPCB|3.0x1.0mm Right angle smd chip led lamp red
PLN|2012-11-24|D3|P6SMB33CA[[/\]]SMB|Semikron||1|P6SMB33CA|tme.pl|P6SMB33CA|P6SMB33CA|0,389|LPGDetA1.PrjPCB|Transient Suppresion Bidirectional Diode 40.7V 600W, case SMB
PLN|2013-01-12|D3c|KPA-3010YD[[/\]]KPA-3010YD|Kingbright Electronic||1|KPA-3010YD|tme.pl|KPA-3010YD|KPA-3010YD|0,326|LPGDetA1.PrjPCB|3.0x1.0mm Right angle smd chip led lamp yellow
PLZ|2012-09-30|D4, D5|P6SMB15A[[/\]]SMB|Littelfuse||2|P6SMB15A-LF|tme.pl|P6SMB15A|P6SMB15A|0,48|LPGDetA1.PrjPCB|Transient Suppresion Unidirectional Diode 15V 600W, case SMB
PLN|2013-01-12|D4c|KPA-3010SGD[[/\]]KPA-3010SGD|Kingbright Electronic||1|KPA-3010SGD|tme.pl|KPA-3010SGD|KPA-3010SGD|0,275|LPGDetA1.PrjPCB|3.0x1.0mm Right angle smd chip led lamp green
PLN|2012-12-10|D5c|KPA-3010QBC-D[[/\]]KPA-3010QBC-D|Kingbright Electronic||1|2146443|farnell.com|KPA-3010QBC-D|KPA-3010QBC-D|0,7|LPGDetA1.PrjPCB|3.0x1.0mm Right angle smd chip led lamp blue
0,6800||FIT1, FIT2, FIT3, FIT4|VMCG20[[/\]]VMCG20|VMCG20||4|Adsys|wspornik plytki drukowanej|Richco plastic|VMCG20|41251|LPGDetA1.PrjPCB|
||J1|LPGCODetA1[[/\]]LPGCODetA1|||1|mlach|modu³ LPGCODetA1||LPGCODetA1||LPGDetA1.PrjPCB|Modul czujnika CO/LPG
PLN|2012-11-24|J1c|WF03S[[/\]]WF03S|||1|WF03S-JS|maritex.com.pl||WF03S|0,0550|LPGDetA1.PrjPCB|connector 2,54mm pitch, THT, 3 pole, stright
PLN|2012-11-24|J3c|PLMS4S[[/\]]4x2mm|||1|PLMS40S-LF|maritex.com.pl||PLMS4S|0,0850|LPGDetA1.PrjPCB|connector 2.00mm pitch, 4 poles, one row
